"section","key","english","burmese","kcho_TO_FILL","notes"
"guide_question","cat7_q0","What support is available for survivors of gender-based violence?","ကျား၊မ အခြေပြု အကြမ်းဖက်မှု ခံရသူများအတွက် ဘာအကူအညီ ရှိမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat7_q1","What should I do if I have experienced sexual or gender-based violence?","လိင်ပိုင်းဆိုင်ရာ သို့မဟုတ် ကျား၊မအခြေပြု အကြမ်းဖက်မှု ခံခဲ့ရရင် ဘာလုပ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat7_q2","Where do I report domestic violence or abuse?","အိမ်တွင်း အကြမ်းဖက်မှုကို ဘယ်မှာ တိုင်ကြားရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat8","Resettlement & returning home","ပြန်လည်နေရာချထားရေးနှင့် နေရပ်ပြန်ခြင်း","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat8_q0","How does resettlement to another country work?","အခြားနိုင်ငံသို့ ပြန်လည်နေရာချထားရေး ဘယ်လို လုပ်ဆောင်သလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat8_q1","Can I choose which country I am resettled to?","ဘယ်နိုင်ငံကို သွားမလဲဆိုတာ ကျွန်ုပ် ရွေးချယ်နိုင်ပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat8_q2","What if I want to return to my home country voluntarily?","မိမိဆန္ဒအလျောက် နေရပ်ပြန်လိုပါက ဘယ်လိုလုပ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat9","Work & daily life","အလုပ်နှင့် နေ့စဉ်ဘဝ","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat9_q0","Can refugees work legally in Malaysia?","ဒုက္ခသည်များ မလေးရှားမှာ တရားဝင် အလုပ်လုပ်နိုင်ပါသလား။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat9_q1","How do I use the Touch n Go eWallet card?","Touch n Go eWallet ကတ်ကို ဘယ်လို သုံးရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_category","cat10","Contacting UNHCR","UNHCR ကို ဆက်သွယ်ရန်","","SAFE - category heading, display only, never sent as a query"
"guide_question","cat10_q0","How do I contact UNHCR Malaysia?","UNHCR မလေးရှားကို ဘယ်လို ဆက်သွယ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"guide_question","cat10_q1","What are the official UNHCR hotline numbers?","တရားဝင် UNHCR ဖုန်းလိုင်းနံပါတ်များက ဘာလဲ။","","BLOCKED - SHOWN AND ASKED: ui/index.html sends the tapped text as the real query (data-guide-ask). K'Cho retrieval scores 0.187 vs 0.949 for Burmese, so a K'Cho line here would retrieve at random. Do not enable until the display/query split exists - i18n/README.md"
"hero_card_label","card0","Register with UNHCR","UNHCR မှတ်ပုံတင်ခြင်း","","SAFE - interface text, never sent as a query"
"hero_card_question","card0_q","How do I register with UNHCR?","UNHCR တွင် ဘယ်လို မှတ်ပုံတင်ရမလဲ။","","BLOCKED - SHOWN AND ASKED, same as guide questions (data-ask). See i18n/README.md"
"hero_card_label","card1","Health care & REMEDI","ကျန်းမာရေးနှင့် REMEDI","","SAFE - interface text, never sent as a query"
"hero_card_question","card1_q","What does REMEDI cover and how much does it cost?","REMEDI က ဘာတွေ အကျုံးဝင်ပြီး ဘယ်လောက် ကုန်ကျမလဲ။","","BLOCKED - SHOWN AND ASKED, same as guide questions (data-ask). See i18n/README.md"
"hero_card_label","card2","If someone is detained","ဖမ်းဆီးခံရလျှင်","","SAFE - interface text, never sent as a query"
"hero_card_question","card2_q","What should I do if someone is arrested or detained?","တစ်ယောက်ယောက် ဖမ်းဆီးခံရရင် ဘာလုပ်ရမလဲ။","","BLOCKED - SHOWN AND ASKED, same as guide questions (data-ask). See i18n/README.md"
"hero_card_label","card3","Spot a scam","လိမ်လည်မှု သတိပြုရန်","","SAFE - interface text, never sent as a query"
"hero_card_question","card3_q","How can I tell if someone is a scammer pretending to be UNHCR?","UNHCR ဟု ဟန်ဆောင်သော လိမ်လည်သူကို ဘယ်လို သိနိုင်မလဲ။","","BLOCKED - SHOWN AND ASKED, same as guide questions (data-ask). See i18n/README.md"
